,Player,Salary
558,Tim Frazier,"128,709"
559,Tim Frazier,"128,709"
560,Devin Cannady,"100,000"
561,B.J. Johnson,"94,304"
562,Freddie Gillespie,"85,578"
563,Admiral Schofield,"85,578"
564,Freddie Gillespie,"85,578"
565,Devin Cannady,"85,578"
566,Admiral Schofield,"84,128"
567,Hassani Gravett,"53,176"
568,Jeff Dowtin,"53,176"
569,Aleem Ford,"52,274"
570,Hassani Gravett,"52,274"
571,James Harden,"43,848,000"
572,Tobias Harris,"36,000,000"
573,Joel Embiid,"31,579,390"
574,Danny Green,"10,000,000"
575,Furkan Korkmaz,"4,629,630"
576,Georges Niang,"3,300,000"
577,Matisse Thybulle,"2,840,160"
578,Paul Millsap,"2,641,691"
579,Tyrese Maxey,"2,602,920"
580,Jaden Springer,"2,023,800"
581,Shake Milton,"1,846,738"
582,Isaiah Joe,"1,517,981"
583,Paul Reed,"1,517,981"
584,George Hill,"1,275,491"
585,Charles Bassey,"925,258"
586,DeAndre Jordan,"592,103"
587,Tyler Johnson,"128,709"
588,Willie Cauley-Stein,"120,083"
589,Charlie Brown Jr.,"95,930"
590,Braxton Key,"53,176"
591,Devin Booker,"31,610,000"
592,Chris Paul,"30,800,000"
593,Deandre Ayton,"12,632,950"
594,Jae Crowder,"9,720,900"
595,Dario Šarić,"9,000,000"
596,Cameron Payne,"6,500,000"
597,Mikal Bridges,"5,557,725"
598,JaVale McGee,"5,000,000"
599,Torrey Craig,"4,878,049"
600,Cameron Johnson,"4,437,000"
601,Aaron Holiday,"3,980,551"
602,Landry Shamet,"3,768,342"
603,Elfrid Payton,"2,239,544"
604,Frank Kaminsky,"2,089,448"
605,Abdel Nader,"2,000,000"
606,Bismack Biyombo,"1,366,392"
607,Bismack Biyombo,"151,821"
608,Justin Jackson,"102,831"
609,Justin Jackson,"102,831"
610,Emanuel Terry,"85,578"
611,M.J. Walker,"53,176"
612,Paris Bass,"53,176"
613,Paris Bass,"53,176"
614,Ish Wainright,"8,558"
615,Damian Lillard,"39,344,900"
616,Eric Bledsoe,"18,125,000"
617,Joe Ingles,"14,000,000"
618,Jusuf Nurkić,"12,000,000"
619,Josh Hart,"12,000,000"
620,Anfernee Simons,"3,938,818"
621,Justise Winslow,"3,902,439"
622,Andrew Nicholson,"2,844,429"
623,Keon Johnson,"2,553,120"
624,Ben McLemore,"2,389,641"
625,Cody Zeller,"2,389,641"
626,Nassir Little,"2,316,240"
627,Dennis Smith Jr.,"1,789,256"
628,Didi Louzada,"1,786,878"
629,Elijah Hughes,"1,517,981"
630,CJ Elleby,"1,517,981"
631,Greg Brown III,"925,258"
632,Trendon Watford,"260,561"
633,Kris Dunn,"111,457"
634,Kris Dunn,"111,457"
635,Kris Dunn,"111,457"
636,Drew Eubanks,"99,380"
637,Drew Eubanks,"99,380"
638,Drew Eubanks,"99,380"
639,Drew Eubanks,"99,380"
640,Drew Eubanks,"99,380"
641,Reggie Perry,"85,578"
642,Reggie Perry,"85,578"
643,Cameron McGriff,"53,176"
644,Brandon Williams,"53,176"
645,Jarron Cumberland,"53,176"
646,Reggie Perry,"17,116"
647,De'Aaron Fox,"28,103,550"
648,Harrison Barnes,"20,284,091"
649,Domantas Sabonis,"18,562,500"
650,Jeremy Lamb,"10,500,000"
651,Richaun Holmes,"10,384,500"
652,Justin Holiday,"6,006,420"
653,Josh Jackson,"5,005,350"
654,Donte DiVincenzo,"4,675,830"
655,Davion Mitchell,"4,603,320"
656,Maurice Harkless,"4,347,600"
657,Terence Davis,"4,000,000"
658,Alex Len,"3,731,707"
659,Trey Lyles,"2,500,000"
660,Damian Jones,"1,977,011"
661,Chimezie Metu,"1,762,796"
662,Jahmi'us Ramsey,"1,517,981"
663,Robert Woodard II,"1,517,981"
664,Emmanuel Mudiay,"111,457"
665,Justin Robinson,"94,304"
